City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,turayf,31.6725,38.6637,283.29,93,0,1.54,SA,1669854636
167,latehar,23.75,84.5,286.27,76,5,1.04,IN,1669854637
168,aksu,41.1231,80.2644,263.98,20,48,1.72,CN,1669854637
169,ndele,8.4109,20.6473,297.02,36,100,1.91,CF,1669854638
170,todos santos,23.45,-110.2167,296.73,79,1,2.73,MX,1669854638
171,alexandria,31.2156,29.9553,290.61,72,0,2.51,EG,1669854355
172,kavaratti,10.5669,72.642,300.69,71,100,1.51,IN,1669854639
173,saint george,37.1041,-113.5841,285.34,26,0,2.57,US,1669854599
174,hickory,35.7332,-81.3412,282.78,41,0,5.14,US,1669854640
175,nanakuli,21.3906,-158.1547,302.8,58,100,4.63,US,1669854640
176,atuona,-9.8,-139.0333,298.68,74,65,5.8,PF,1669854641
177,san rafael,-34.6177,-68.3301,295.83,31,68,6.56,AR,1669854641
178,panzhihua,26.5851,101.7128,285.89,71,0,0.53,CN,1669854642
179,hithadhoo,-0.6,73.0833,300.29,69,60,3.02,MV,1669854642
180,bambous virieux,-20.3428,57.7575,295.49,88,40,2.06,MU,1669854643
181,krasnoselkup,65.7,82.4667,254.83,96,100,4.51,RU,1669854643
182,port shepstone,-30.7414,30.455,293.26,84,100,9.01,ZA,1669854644
183,los llanos de aridane,28.6585,-17.9182,291.01,75,75,3.6,ES,1669854644
184,plettenberg bay,-34.0527,23.3716,290.63,80,6,1.83,ZA,1669854570
185,garmsar,35.2182,52.3409,283.41,51,27,0.29,IR,1669854645
186,sao joao da barra,-21.6403,-41.0511,297.2,92,100,7.2,BR,1669854518
187,esna,25.2934,32.554,291.0,39,0,3.18,EG,1669854645
188,ouesso,1.6136,16.0517,293.46,99,100,0.87,CG,1669854646
189,tuzla,44.5428,18.6694,277.13,100,100,1.03,BA,1669854646
190,navirai,-23.065,-54.1906,295.22,75,0,1.47,BR,1669854647
191,mar del plata,-38.0023,-57.5575,290.98,98,100,6.26,AR,1669854569
192,cherskiy,68.75,161.3,260.71,95,100,2.82,RU,1669854647
193,ihlow,51.8833,13.3333,273.23,100,100,2.57,DE,1669854648
194,inuvik,68.3499,-133.7218,256.57,85,100,2.57,CA,1669854648
195,minudasht,37.2289,55.3747,282.91,81,75,0.0,IR,1669854650
196,narrabri,-30.3167,149.7833,296.39,40,100,3.24,AU,1669854650
197,manavalakurichi,8.1333,77.3,297.37,76,90,1.69,IN,1669854651
198,huarmey,-10.0681,-78.1522,293.16,80,82,3.33,PE,1669854651
199,half moon bay,37.4636,-122.4286,287.82,63,100,5.14,US,1669854494
200,fonte boa,-2.4959,-66.2662,299.31,83,100,1.29,BR,1669854652
201,margate,51.3813,1.3862,282.42,88,55,0.89,GB,1669854652
202,talnakh,69.4865,88.3972,253.55,99,97,2.25,RU,1669854652
203,xining,36.6167,101.7667,263.37,44,100,0.97,CN,1669854653
204,grootfontein,-19.5667,18.1167,292.91,49,0,2.06,NA,1669854653
205,bereda,43.2686,-7.5406,280.6,100,67,2.03,ES,1669854654
206,grand gaube,-20.0064,57.6608,295.58,75,62,1.34,MU,1669854654
207,leningradskiy,69.3833,178.4167,261.88,91,100,3.88,RU,1669854655
208,isiro,2.7739,27.616,291.45,100,100,1.01,CD,1669854561
209,arcata,40.8665,-124.0828,284.49,84,100,7.72,US,1669854655
210,asyut,27.181,31.1837,288.85,48,0,1.43,EG,1669854656
211,inhambane,-23.865,35.3833,295.53,83,20,4.46,MZ,1669854656
212,nemuro,43.3236,145.575,271.65,52,43,9.49,JP,1669854656
213,hanna,51.6334,-111.9018,257.51,85,100,3.13,CA,1669854623
214,nyaunglebin,17.95,96.7333,297.37,85,69,1.29,MM,1669854658
215,misawa,40.6836,141.3597,272.37,61,100,6.69,JP,1669854659
216,frontera,26.9333,-101.45,288.01,55,40,3.6,MX,1669854661
217,nikolskoye,59.7035,30.7861,269.09,91,98,1.48,RU,1669854365
218,hailey,43.5196,-114.3153,269.71,87,100,1.54,US,1669854662
219,barcelos,41.5388,-8.6151,285.23,87,92,2.12,PT,1669854663
220,dmitriyevka,54.75,55.3333,258.9,99,100,1.33,RU,1669854665
221,college,64.8569,-147.8028,257.36,81,100,0.0,US,1669854368
222,kuytun,54.3419,101.5036,256.29,73,100,5.7,RU,1669854666
223,ahtopol,42.1,27.95,284.48,86,100,7.43,BG,1669854667
224,shihezi,44.3,86.0333,258.57,80,100,1.11,CN,1669854667
225,boali,4.8005,18.1275,294.39,97,100,1.16,CF,1669854668
226,port-gentil,-0.7193,8.7815,298.96,85,100,4.04,GA,1669854615
227,castanos,26.7833,-101.4167,286.92,50,40,3.6,MX,1669854668
228,poum,-20.2333,164.0167,300.86,82,99,6.75,NC,1669854670
229,port elizabeth,-33.918,25.5701,291.54,90,0,3.09,ZA,1669854671
230,sydney,-33.8679,151.2073,294.44,64,75,4.63,AU,1669854312
231,alekseyevsk,57.8406,108.3492,253.22,96,100,3.57,RU,1669854672
232,pierre,44.3683,-100.351,268.07,61,0,5.81,US,1669854513
233,kismayo,-0.3582,42.5454,299.11,78,93,6.16,SO,1669854673
234,corinto,37.9407,22.9573,286.42,95,100,1.63,GR,1669854674
235,acapulco,16.8634,-99.8901,301.05,74,40,2.06,MX,1669854141
236,aktash,50.3,87.7333,245.69,65,0,1.51,RU,1669854675
237,nizhneudinsk,54.9076,99.0276,258.5,58,100,6.73,RU,1669854676
238,alamos,27.0167,-108.9333,292.5,34,14,0.63,MX,1669854677
239,aripuana,-9.1667,-60.6333,296.87,87,46,1.13,BR,1669854678
240,jamestown,42.097,-79.2353,271.49,89,100,8.23,US,1669854506
241,zheshart,62.0731,49.5733,265.44,97,94,1.25,RU,1669854679
